Event,File,Pair,Num_Peaks,Peak_Positions,Mean_Peak,Min_Peak,Max_Peak,I0_used,Predicted_Class,Best_Score,Confidence,Certainty_Prob
26401017events-3_pair163,26401017events-3.csv,163,2,"[0.9502054794520548, 0.9552739726027397]",0.9527397260273972,0.9502054794520548,0.9552739726027396,7300.0,apo-Tf,0.65,0.65,0.963
26401017events-3_pair63,26401017events-3.csv,63,2,"[0.9486986301369863, 0.9537671232876712]",0.9512328767123288,0.9486986301369864,0.9537671232876712,7300.0,apo-Tf,0.65,0.65,0.963
26401017events-3_pair26,26401017events-3.csv,26,2,"[0.946917808219178, 0.949931506849315]",0.9484246575342464,0.946917808219178,0.949931506849315,7300.0,apo-Tf,0.65,0.65,0.963
26401017events-3_pair59,26401017events-3.csv,59,3,"[0.9486986301369863, 0.9504794520547946, 0.9554109589041095]",0.9515296803652968,0.9486986301369864,0.9554109589041097,7300.0,apo-Tf,0.533,0.533,0.935
26401017events-4_pair4,26401017events-4.csv,4,15,"[0.9011643835616439, 0.9069178082191781, 0.9081506849315069, 0.9111643835616439, 0.9132191780821918, 0.9140410958904109, 0.9148630136986301, 0.919931506849315, 0.9211643835616439, 0.9223972602739726, 0.924041095890411, 0.9266438356164384, 0.9282876712328767, 0.9295205479452054, 0.9307534246575343]",0.9181506849315072,0.901164383561644,0.9307534246575344,7300.0,IgG,0.511,0.511,0.928
26401017events-3_pair184,26401017events-3.csv,184,2,"[0.9295205479452054, 0.9307534246575343]",0.93013698630137,0.9295205479452054,0.9307534246575344,7300.0,IgG,0.65,0.65,0.963
26401017events-3_pair67,26401017events-3.csv,67,3,"[0.9481506849315069, 0.949931506849315, 0.9548630136986301]",0.9509817351598174,0.9481506849315068,0.95486301369863,7300.0,apo-Tf,0.533,0.533,0.935
26401017events-2_pair81,26401017events-2.csv,81,7,"[0.803082191780822, 0.9045890410958904, 0.9071917808219178, 0.9088356164383562, 0.9108904109589041, 0.912945205479452, 0.9151369863013699]",0.8946673189823875,0.803082191780822,0.91513698630137,7300.0,IgG,0.417,0.417,0.889
26401017events-3_pair156,26401017events-3.csv,156,2,"[0.9491095890410959, 0.954041095890411]",0.9515753424657534,0.949109589041096,0.954041095890411,7300.0,apo-Tf,0.65,0.65,0.963
26401017events-2_pair96,26401017events-2.csv,96,3,"[0.9436301369863014, 0.9474657534246576, 0.9507534246575342]",0.947283105022831,0.9436301369863014,0.9507534246575342,7300.0,apo-Tf,0.533,0.533,0.935
26401017events-3_pair6,26401017events-3.csv,6,3,"[0.9521232876712329, 0.952945205479452, 0.9584246575342465]",0.9544977168949772,0.9521232876712328,0.9584246575342464,7300.0,IgG,0.533,0.533,0.935
26401017events-3_pair189,26401017events-3.csv,189,4,"[0.9291095890410959, 0.929931506849315, 0.9333561643835616, 0.935]",0.9318493150684932,0.929109589041096,0.935,7300.0,IgG,0.475,0.475,0.915
26401017events-3_pair104,26401017events-3.csv,104,11,"[0.9244520547945205, 0.9260958904109589, 0.9277397260273973, 0.929931506849315, 0.9362328767123288, 0.9436301369863014, 0.9445890410958904, 0.9491095890410959, 0.9515753424657534, 0.952945205479452, 0.955]",0.940118306351183,0.9244520547945204,0.955,7300.0,IgG,0.417,0.029,0.536
26401017events-3_pair126,26401017events-3.csv,126,2,"[0.9497945205479452, 0.9514383561643835]",0.9506164383561644,0.9497945205479452,0.9514383561643835,7300.0,apo-Tf,0.65,0.65,0.963
26401017events-2_pair139,26401017events-2.csv,139,2,"[0.9384246575342465, 0.9467808219178082]",0.9426027397260274,0.9384246575342464,0.9467808219178082,7300.0,apo-Tf,0.65,0.65,0.963
26401017events-3_pair112,26401017events-3.csv,112,2,"[0.9495205479452055, 0.9544520547945206]",0.9519863013698632,0.9495205479452056,0.9544520547945206,7300.0,apo-Tf,0.65,0.65,0.963
26401017events-2_pair140,26401017events-2.csv,140,11,"[0.9292465753424658, 0.9384246575342465, 0.9422602739726027, 0.9434931506849316, 0.9447260273972603, 0.9455479452054795, 0.9463698630136986, 0.9471917808219178, 0.9485616438356165, 0.9497945205479452, 0.9514383561643835]",0.9442777085927768,0.9292465753424658,0.9514383561643835,7300.0,IgG,0.417,0.029,0.536
26401017events-2_pair101,26401017events-2.csv,101,9,"[0.7977397260273973, 0.798972602739726, 0.8160958904109589, 0.8195205479452055, 0.8236301369863014, 0.8278767123287671, 0.8315753424657534, 0.8358219178082191, 0.8395205479452055]",0.8211948249619483,0.7977397260273973,0.8395205479452055,7300.0,IgG,0.417,0.417,0.889
26401017events-3_pair8,26401017events-3.csv,8,3,"[0.9386986301369863, 0.9474657534246576, 0.9513013698630137]",0.9458219178082192,0.9386986301369864,0.9513013698630136,7300.0,apo-Tf,0.533,0.533,0.935
26401017events-3_pair44,26401017events-3.csv,44,9,"[0.8991095890410958, 0.8999315068493151, 0.9025342465753424, 0.9033561643835616, 0.9054109589041096, 0.9237671232876712, 0.9313013698630137, 0.9351369863013699, 0.9430821917808219]",0.915958904109589,0.8991095890410958,0.943082191780822,7300.0,IgG,0.496,0.496,0.923
26401017events-3_pair30,26401017events-3.csv,30,2,"[0.9477397260273973, 0.9515753424657534]",0.9496575342465754,0.9477397260273972,0.9515753424657534,7300.0,apo-Tf,0.65,0.65,0.963
26401017events-2_pair141,26401017events-2.csv,141,8,"[0.8073287671232877, 0.8081506849315069, 0.8097945205479452, 0.8106164383561644, 0.813082191780822, 0.851986301369863, 0.8537671232876712, 0.8554109589041096]",0.8262671232876713,0.8073287671232877,0.8554109589041096,7300.0,IgG,0.417,0.417,0.889
26401017events-4_pair24,26401017events-4.csv,24,4,"[0.8266438356164384, 0.8288356164383561, 0.830068493150685, 0.8341780821917808]",0.8299315068493152,0.8266438356164384,0.8341780821917808,7300.0,IgG,0.475,0.475,0.915
26401017events-4_pair1,26401017events-4.csv,1,3,"[0.9002054794520548, 0.9044520547945205, 0.9052739726027397]",0.9033105022831048,0.9002054794520548,0.9052739726027396,7300.0,IgG,0.533,0.533,0.935
26401017events-4_pair34,26401017events-4.csv,34,2,"[0.8530821917808219, 0.8543150684931506]",0.8536986301369862,0.8530821917808219,0.8543150684931506,7300.0,IgG,0.65,0.65,0.963
26401017events-3_pair144,26401017events-3.csv,144,2,"[0.950068493150685, 0.9521232876712329]",0.951095890410959,0.950068493150685,0.9521232876712328,7300.0,apo-Tf,0.65,0.65,0.963
26401017events-2_pair1,26401017events-2.csv,1,12,"[0.888972602739726, 0.8897945205479452, 0.8930821917808219, 0.8969178082191781, 0.9022602739726028, 0.9032191780821918, 0.9048630136986301, 0.9056849315068494, 0.908972602739726, 0.9128082191780822, 0.9136301369863014, 0.9181506849315069]",0.9031963470319632,0.888972602739726,0.9181506849315068,7300.0,IgG,0.417,0.029,0.536
26401017events-4_pair36,26401017events-4.csv,36,7,"[0.8274657534246576, 0.830068493150685, 0.8526712328767123, 0.8539041095890411, 0.8592465753424657, 0.8626712328767123, 0.8647260273972602]",0.8501076320939335,0.8274657534246576,0.8647260273972602,7300.0,IgG,0.528,0.128,0.654
26401017events-3_pair101,26401017events-3.csv,101,2,"[0.950068493150685, 0.9521232876712329]",0.951095890410959,0.950068493150685,0.9521232876712328,7300.0,apo-Tf,0.65,0.65,0.963
26401017events-2_pair110,26401017events-2.csv,110,6,"[0.848013698630137, 0.8488356164383561, 0.8496575342465753, 0.8504794520547945, 0.8513013698630137, 0.8551369863013699]",0.8505707762557079,0.848013698630137,0.8551369863013699,7300.0,IgG,0.417,0.417,0.889
26401017events-3_pair178,26401017events-3.csv,178,11,"[0.888972602739726, 0.891027397260274, 0.8932191780821918, 0.8952739726027398, 0.9107534246575343, 0.9136301369863014, 0.9178767123287671, 0.9203424657534247, 0.9211643835616439, 0.9223972602739726, 0.9266438356164384]",0.9092092154420922,0.888972602739726,0.9266438356164384,7300.0,IgG,0.417,0.029,0.536
26401017events-2_pair36,26401017events-2.csv,36,14,"[0.7434931506849315, 0.7443150684931507, 0.7451369863013698, 0.7493835616438356, 0.7530821917808219, 0.7556849315068493, 0.8174657534246575, 0.8196575342465754, 0.8245890410958904, 0.8262328767123288, 0.8271917808219178, 0.8308904109589041, 0.8325342465753425, 0.8359589041095891]",0.7932583170254404,0.7434931506849315,0.8359589041095891,7300.0,IgG,0.417,0.029,0.536
26401017events-3_pair19,26401017events-3.csv,19,2,"[0.9491095890410959, 0.9541780821917808]",0.9516438356164384,0.949109589041096,0.9541780821917808,7300.0,apo-Tf,0.65,0.65,0.963
26401017events-3_pair64,26401017events-3.csv,64,3,"[0.9491095890410959, 0.954041095890411, 0.9558219178082191]",0.9529908675799086,0.949109589041096,0.9558219178082192,7300.0,apo-Tf,0.533,0.533,0.935
26401017events-3_pair70,26401017events-3.csv,70,2,"[0.9502054794520548, 0.9532191780821918]",0.9517123287671232,0.9502054794520548,0.9532191780821918,7300.0,apo-Tf,0.65,0.65,0.963
26401017events-3_pair164,26401017events-3.csv,164,2,"[0.9473287671232876, 0.951027397260274]",0.9491780821917808,0.9473287671232876,0.951027397260274,7300.0,apo-Tf,0.65,0.65,0.963
26401017events-3_pair125,26401017events-3.csv,125,2,"[0.9506164383561644, 0.9514383561643835]",0.951027397260274,0.9506164383561644,0.9514383561643835,7300.0,apo-Tf,0.65,0.65,0.963
26401017events-3_pair62,26401017events-3.csv,62,3,"[0.9411643835616438, 0.9486986301369863, 0.9537671232876712]",0.9478767123287672,0.9411643835616438,0.9537671232876712,7300.0,apo-Tf,0.533,0.533,0.935
26401017events-3_pair81,26401017events-3.csv,81,3,"[0.9497945205479452, 0.9514383561643835, 0.9522602739726027]",0.9511643835616438,0.9497945205479452,0.9522602739726028,7300.0,apo-Tf,0.533,0.533,0.935
26401017events-3_pair10,26401017events-3.csv,10,2,"[0.9521232876712329, 0.9600684931506849]",0.9560958904109588,0.9521232876712328,0.9600684931506848,7300.0,IgG,0.65,0.65,0.963
26401017events-3_pair148,26401017events-3.csv,148,2,"[0.9491095890410959, 0.9545890410958904]",0.9518493150684932,0.949109589041096,0.9545890410958904,7300.0,apo-Tf,0.65,0.65,0.963
26401017events-2_pair48,26401017events-2.csv,48,15,"[0.7347260273972602, 0.7381506849315068, 0.7422602739726027, 0.7465068493150685, 0.7502054794520548, 0.7544520547945206, 0.802945205479452, 0.8108904109589041, 0.8133561643835616, 0.815, 0.8192465753424657, 0.8221232876712329, 0.822945205479452, 0.8271917808219178, 0.8288356164383561]",0.7885890410958905,0.7347260273972602,0.8288356164383561,7300.0,IgG,0.417,0.029,0.536
26401017events-4_pair14,26401017events-4.csv,14,4,"[0.901986301369863, 0.9032191780821918, 0.906095890410959, 0.9069178082191781]",0.904554794520548,0.901986301369863,0.906917808219178,7300.0,IgG,0.475,0.475,0.915
26401017events-3_pair21,26401017events-3.csv,21,3,"[0.947054794520548, 0.9519863013698631, 0.9536301369863014]",0.950890410958904,0.947054794520548,0.9536301369863014,7300.0,apo-Tf,0.533,0.533,0.935
