Event,Num_Peaks,Peak_Positions,IgG_Similarity,apo-Tf_Similarity,Predicted_Class,Best_Score,Confidence,Certainty_Prob
26331012-1Events_pair50,3,"[0.9291095890410959, 0.9304794520547945, 0.9404794520547946]",0.533,0.0,IgG,0.533,0.533,0.935
26331012-1Events_pair52,4,"[0.9341780821917808, 0.935, 0.9471917808219178, 0.9484246575342465]",0.475,0.475,IgG,0.475,0.0,0.5
26331012-1Events_pair53,7,"[0.8008904109589041, 0.802945205479452, 0.8392465753424657, 0.8404794520547946, 0.8418493150684931, 0.843904109589041, 0.8860958904109589]",0.0,0.0,Uncertain,0.0,0.0,0.0
26331012-1Events_pair55,2,"[0.911986301369863, 0.9141780821917809]",0.65,0.0,IgG,0.65,0.65,0.963
26331012-1Events_pair56,3,"[0.9211643835616439, 0.9262328767123288, 0.9286986301369863]",0.533,0.0,IgG,0.533,0.533,0.935
26331012-1Events_pair57,5,"[0.8777397260273972, 0.8785616438356164, 0.8806164383561644, 0.8815753424657534, 0.8823972602739726]",0.0,0.0,Uncertain,0.0,0.0,0.0
26331012-1Events_pair58,15,"[0.8765068493150685, 0.8773287671232877, 0.8991095890410958, 0.9103424657534247, 0.9115753424657534, 0.9145890410958905, 0.9158219178082192, 0.917054794520548, 0.940068493150685, 0.9421232876712329, 0.9441780821917808, 0.945, 0.9471917808219178, 0.950068493150685, 0.9508904109589041]",0.417,0.387,IgG,0.417,0.029,0.536
26331012-1Events_pair59,15,"[0.8815753424657534, 0.8823972602739726, 0.8948630136986301, 0.9128082191780822, 0.9162328767123288, 0.9178767123287671, 0.9195205479452054, 0.9233561643835616, 0.9274657534246575, 0.9313013698630137, 0.9408904109589041, 0.942945205479452, 0.9441780821917808, 0.9467808219178082, 0.9517123287671233]",0.417,0.431,apo-Tf,0.431,0.015,0.518
26331012-1Events_pair60,11,"[0.8940410958904109, 0.8948630136986301, 0.8956849315068494, 0.9241780821917808, 0.9325342465753425, 0.9384246575342465, 0.9408904109589041, 0.9421232876712329, 0.9445890410958904, 0.9463698630136986, 0.9488356164383561]",0.417,0.436,apo-Tf,0.436,0.019,0.524
26331012-1Events_pair61,10,"[0.8923972602739726, 0.8936301369863013, 0.8952739726027398, 0.8965068493150685, 0.8978767123287671, 0.9337671232876712, 0.9345890410958904, 0.9404794520547946, 0.9441780821917808, 0.945]",0.417,0.443,apo-Tf,0.443,0.026,0.533
26331012-1Events_pair62,9,"[0.930068493150685, 0.9308904109589041, 0.9321232876712329, 0.9337671232876712, 0.9362328767123288, 0.9421232876712329, 0.9555479452054795, 0.958013698630137, 0.9588356164383561]",0.504,0.0,IgG,0.504,0.504,0.925
26331012-1Events_pair63,15,"[0.8781506849315068, 0.878972602739726, 0.8797945205479452, 0.930068493150685, 0.9308904109589041, 0.9337671232876712, 0.935, 0.9362328767123288, 0.9378767123287671, 0.9392465753424658, 0.9417123287671233, 0.945, 0.9458219178082192, 0.9467808219178082, 0.9525342465753425]",0.417,0.387,IgG,0.417,0.029,0.536
26331012-1Events_pair64,2,"[0.9417123287671233, 0.9445890410958904]",0.0,0.65,apo-Tf,0.65,0.65,0.963
26331012-1Events_pair65,13,"[0.8702054794520548, 0.8785616438356164, 0.8828082191780822, 0.8836301369863013, 0.9392465753424658, 0.9404794520547946, 0.942945205479452, 0.9441780821917808, 0.9484246575342465, 0.963904109589041, 0.9647260273972603, 0.9667808219178082, 0.968013698630137]",0.417,0.413,IgG,0.417,0.004,0.505
26331012-1Events_pair66,8,"[0.8104794520547945, 0.8141780821917808, 0.8158219178082192, 0.8166438356164384, 0.818013698630137, 0.8196575342465754, 0.8221232876712329, 0.8255479452054795]",0.417,0.0,IgG,0.417,0.417,0.889
26331012-1Events_pair68,3,"[0.891986301369863, 0.8952739726027398, 0.9358219178082192]",0.0,0.533,apo-Tf,0.533,0.533,0.935
26331012-1Events_pair70,5,"[0.7903424657534247, 0.792945205479452, 0.795, 0.7966438356164384, 0.7982876712328767]",0.0,0.44,apo-Tf,0.44,0.44,0.9
26331012-1Events_pair75,2,"[0.838013698630137, 0.8392465753424657]",0.0,0.0,Uncertain,0.0,0.0,0.0
26331012-1Events_pair76,5,"[0.8037671232876712, 0.8045890410958904, 0.8062328767123288, 0.871027397260274, 0.8718493150684932]",0.0,0.0,Uncertain,0.0,0.0,0.0
26331012-1Events_pair77,4,"[0.9136301369863014, 0.9145890410958905, 0.9154109589041096, 0.9166438356164384]",0.0,0.0,Uncertain,0.0,0.0,0.0
26331012-1Events_pair78,2,"[0.8956849315068494, 0.9441780821917808]",0.0,0.97,apo-Tf,0.97,0.97,0.992
26331012-1Events_pair80,10,"[0.7832191780821918, 0.8033561643835616, 0.8082876712328767, 0.8092465753424658, 0.810068493150685, 0.8125342465753425, 0.8400684931506849, 0.8426712328767123, 0.8434931506849315, 0.8530821917808219]",0.0,0.0,Uncertain,0.0,0.0,0.0
26331012-1Events_pair81,15,"[0.8606164383561644, 0.8626712328767123, 0.8639041095890411, 0.891986301369863, 0.8936301369863013, 0.9095205479452054, 0.915, 0.9308904109589041, 0.9321232876712329, 0.9354109589041096, 0.9388356164383561, 0.9396575342465754, 0.9421232876712329, 0.9454109589041096, 0.9463698630136986]",0.64,0.541,IgG,0.64,0.099,0.621
26331012-1Events_pair84,9,"[0.5491095890410959, 0.6165068493150685, 0.6177397260273972, 0.618972602739726, 0.8245890410958904, 0.825958904109589, 0.8267808219178082, 0.8639041095890411, 0.8656849315068493]",0.417,0.387,IgG,0.417,0.029,0.536
26331012-1Events_pair86,9,"[0.7915753424657535, 0.8343150684931507, 0.8355479452054795, 0.8367808219178082, 0.8384246575342466, 0.8404794520547946, 0.8422602739726027, 0.9003424657534247, 0.9023972602739726]",0.0,0.387,apo-Tf,0.387,0.387,0.874
26331012-1Events_pair87,11,"[0.8643150684931507, 0.8651369863013698, 0.8685616438356164, 0.8956849315068494, 0.8973287671232877, 0.9007534246575343, 0.9040410958904109, 0.9048630136986301, 0.9078767123287671, 0.9091095890410958, 0.911986301369863]",0.417,0.452,apo-Tf,0.452,0.036,0.544
26331012-1Events_pair88,3,"[0.8651369863013698, 0.8730821917808219, 0.8744520547945206]",0.0,0.533,apo-Tf,0.533,0.533,0.935
26331012-1Events_pair90,2,"[0.8363698630136986, 0.8471917808219178]",0.0,0.0,Uncertain,0.0,0.0,0.0
26331012-1Events_pair91,2,"[0.8162328767123288, 0.878972602739726]",0.0,0.0,Uncertain,0.0,0.0,0.0
